regime_id,n_bars,start,end,duration_days,avg_return,cum_return
90,2,2018-02-24 00:00:00+00:00,2018-02-25 00:00:00+00:00,2,0.02875778177998589,0.056417614467236143
91,9,2018-02-26 00:00:00+00:00,2018-03-06 00:00:00+00:00,9,-0.003425264989181251,-0.038694087800360766
92,36,2018-03-07 00:00:00+00:00,2018-04-11 00:00:00+00:00,36,-0.00535974913718736,-0.20834934680103612
93,28,2018-04-12 00:00:00+00:00,2018-05-09 00:00:00+00:00,28,0.005519745864653762,0.14636245523972446
94,53,2018-05-10 00:00:00+00:00,2018-07-01 00:00:00+00:00,53,-0.005370862989396894,-0.26866166737063757
95,8,2018-07-02 00:00:00+00:00,2018-07-09 00:00:00+00:00,8,-0.005169093923338433,-0.04297282505163169
96,6,2018-07-10 00:00:00+00:00,2018-07-15 00:00:00+00:00,6,0.010877480404754928,0.06505580612801021
97,17,2018-07-16 00:00:00+00:00,2018-08-01 00:00:00+00:00,17,0.007453410085267218,0.12243111951644625
98,22,2018-08-02 00:00:00+00:00,2018-08-23 00:00:00+00:00,22,-0.004922907775296485,-0.11195628473071084
99,12,2018-08-24 00:00:00+00:00,2018-09-04 00:00:00+00:00,12,0.0012753380807019505,0.010843814546515285
100,16,2018-09-05 00:00:00+00:00,2018-09-20 00:00:00+00:00,16,-0.0003178065178430431,-0.0085207490839605
101,4,2018-09-21 00:00:00+00:00,2018-09-24 00:00:00+00:00,4,-0.010841602861530492,-0.04283328012828591
102,2,2018-09-25 00:00:00+00:00,2018-09-26 00:00:00+00:00,2,0.01775560748046301,0.03572187569320873
103,5,2018-09-27 00:00:00+00:00,2018-10-01 00:00:00+00:00,5,-0.003633821109837343,-0.01807016886958457
104,3,2018-10-02 00:00:00+00:00,2018-10-04 00:00:00+00:00,3,0.0033986879289904146,0.010124921828526201
105,5,2018-10-05 00:00:00+00:00,2018-10-09 00:00:00+00:00,5,-0.0011026714413769011,-0.005579480798733827
106,5,2018-10-10 00:00:00+00:00,2018-10-14 00:00:00+00:00,5,0.00082264182157199,0.001671847216548894
107,3,2018-10-15 00:00:00+00:00,2018-10-17 00:00:00+00:00,3,-0.006082612463954769,-0.01816558377573696
108,19,2018-10-18 00:00:00+00:00,2018-11-05 00:00:00+00:00,19,-0.00010605645615656631,-0.0024240702455413654
109,3,2018-11-06 00:00:00+00:00,2018-11-08 00:00:00+00:00,3,-0.003851715633323797,-0.01166845431287078
110,40,2018-11-09 00:00:00+00:00,2018-12-18 00:00:00+00:00,40,-0.01201209036830401,-0.4133772444962277
111,6,2018-12-19 00:00:00+00:00,2018-12-24 00:00:00+00:00,6,0.004662133483347541,0.018564049173107167
112,2,2018-12-25 00:00:00+00:00,2018-12-26 00:00:00+00:00,2,-0.020766060138926068,-0.042107304697430736
113,2,2018-12-27 00:00:00+00:00,2018-12-28 00:00:00+00:00,2,0.023623313233607113,0.04530443276431462
114,2,2018-12-29 00:00:00+00:00,2018-12-30 00:00:00+00:00,2,-0.009980361192370668,-0.02034074876780234
115,3,2018-12-31 00:00:00+00:00,2019-01-02 00:00:00+00:00,3,0.008625592333039353,0.025126245758409826
116,7,2019-01-03 00:00:00+00:00,2019-01-09 00:00:00+00:00,7,-0.005144903413552908,-0.041133879282932884
117,29,2019-01-10 00:00:00+00:00,2019-02-07 00:00:00+00:00,29,0.00010781124605419406,-0.003299881486958589
118,24,2019-02-08 00:00:00+00:00,2019-03-03 00:00:00+00:00,24,0.001353542604281092,0.025848291961884762
119,21,2019-03-04 00:00:00+00:00,2019-03-24 00:00:00+00:00,21,0.0025528495047577805,0.0535708588989674
120,71,2019-03-25 00:00:00+00:00,2019-06-03 00:00:00+00:00,71,0.010199623541343869,0.9448987779675857
121,3,2019-06-04 00:00:00+00:00,2019-06-06 00:00:00+00:00,3,0.01439981302519433,0.04361572802509661
122,3,2019-06-07 00:00:00+00:00,2019-06-09 00:00:00+00:00,3,-0.001333122227327917,-0.005422708992472547
123,2,2019-06-10 00:00:00+00:00,2019-06-11 00:00:00+00:00,2,0.009220139287309304,0.01819049964188979
124,32,2019-06-12 00:00:00+00:00,2019-07-13 00:00:00+00:00,32,0.008998083497505055,0.25905183737505966
125,18,2019-07-14 00:00:00+00:00,2019-07-31 00:00:00+00:00,18,0.00191012448125281,0.014002453183776131
126,12,2019-08-01 00:00:00+00:00,2019-08-12 00:00:00+00:00,12,0.004436204294053068,0.04770920615750307
127,6,2019-08-13 00:00:00+00:00,2019-08-18 00:00:00+00:00,6,0.0011648388531836733,0.001855755825852512
128,2,2019-08-19 00:00:00+00:00,2019-08-20 00:00:00+00:00,2,-0.03604218184494695,-0.07127120157932587
129,12,2019-08-21 00:00:00+00:00,2019-09-01 00:00:00+00:00,12,0.00204844998284881,0.02058679923653961
130,8,2019-09-02 00:00:00+00:00,2019-09-09 00:00:00+00:00,8,-0.002693258844816443,-0.022304566840247397
131,2,2019-09-10 00:00:00+00:00,2019-09-11 00:00:00+00:00,2,0.014468661899387891,0.0290777561837805
132,4,2019-09-12 00:00:00+00:00,2019-09-15 00:00:00+00:00,4,-0.003213979082064028,-0.012808677701431126
133,39,2019-09-16 00:00:00+00:00,2019-10-24 00:00:00+00:00,39,-0.003704752598700907,-0.15725630279493896
134,14,2019-10-25 00:00:00+00:00,2019-11-07 00:00:00+00:00,14,0.0015578945849461195,0.016647615088849266
135,2,2019-11-08 00:00:00+00:00,2019-11-09 00:00:00+00:00,2,0.014220021623976176,0.028467168206721905
136,42,2019-11-10 00:00:00+00:00,2019-12-21 00:00:00+00:00,42,-0.004078499825058072,-0.17049692287475204
137,3,2019-12-22 00:00:00+00:00,2019-12-24 00:00:00+00:00,3,-0.010577203864341134,-0.031475360076894554
138,3,2019-12-25 00:00:00+00:00,2019-12-27 00:00:00+00:00,3,0.0019714767762092724,0.005887155746402639
139,2,2019-12-28 00:00:00+00:00,2019-12-29 00:00:00+00:00,2,-0.001582533175679246,-0.003414872116523915
140,4,2019-12-30 00:00:00+00:00,2020-01-02 00:00:00+00:00,4,0.002229036789494848,0.007113670643082548
141,47,2020-01-03 00:00:00+00:00,2020-02-18 00:00:00+00:00,47,0.006139615562074586,0.31157895023472126
