table_name,id,tf,n_rows,min_ts,max_ts,n_bar_seq,tf_days_min,tf_days_max,n_partial_end_true,n_partial_end_false,n_partial_start_true,n_partial_start_false,n_missing_days_true,n_missing_days_false,count_days_min,count_days_max,count_days_remaining_min,count_days_remaining_max,audit_generated_at,rows_per_bar_seq,has_snapshot_multiplicity,canonical_share,missing_days_share,tf_days_constant,tf_days_span,partial_start_share
public.cmc_price_bars_multi_tf,1,20D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,281,20,20,5334,280,0,5614,0,5614,1,20,0,19,2025-12-20T02:11:38.415963+00:00,19.9786,True,0.049875,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,210D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,27,210,210,5588,26,0,5614,0,5614,1,210,0,209,2025-12-20T02:11:38.415963+00:00,207.9259,True,0.004631,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,2160D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,3,2160,2160,5612,2,0,5614,0,5614,1,2160,0,2159,2025-12-20T02:11:38.415963+00:00,1871.3333,True,0.000356,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,21D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,268,21,21,5347,267,0,5614,0,5614,1,21,0,20,2025-12-20T02:11:38.415963+00:00,20.9478,True,0.04756,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,250D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,23,250,250,5592,22,0,5614,0,5614,1,250,0,249,2025-12-20T02:11:38.415963+00:00,244.087,True,0.003919,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,2520D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,3,2520,2520,5612,2,0,5614,0,5614,1,2520,0,2519,2025-12-20T02:11:38.415963+00:00,1871.3333,True,0.000356,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,2555D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,3,2555,2555,5612,2,0,5614,0,5614,1,2555,0,2554,2025-12-20T02:11:38.415963+00:00,1871.3333,True,0.000356,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,25D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,225,25,25,5390,224,0,5614,0,5614,1,25,0,24,2025-12-20T02:11:38.415963+00:00,24.9511,True,0.0399,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,270D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,21,270,270,5594,20,0,5614,0,5614,1,270,0,269,2025-12-20T02:11:38.415963+00:00,267.3333,True,0.003563,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,280D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,21,280,280,5594,20,0,5614,0,5614,1,280,0,279,2025-12-20T02:11:38.415963+00:00,267.3333,True,0.003563,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,2880D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,2,2880,2880,5613,1,0,5614,0,5614,1,2880,0,2879,2025-12-20T02:11:38.415963+00:00,2807.0,True,0.000178,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,28D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,201,28,28,5414,200,0,5614,0,5614,1,28,0,27,2025-12-20T02:11:38.415963+00:00,27.9303,True,0.035625,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,2920D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,2,2920,2920,5613,1,0,5614,0,5614,1,2920,0,2919,2025-12-20T02:11:38.415963+00:00,2807.0,True,0.000178,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,294D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,20,294,294,5595,19,0,5614,0,5614,1,294,0,293,2025-12-20T02:11:38.415963+00:00,280.7,True,0.003384,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,2D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,2807,2,2,2807,2807,0,5614,0,5614,1,2,0,1,2025-12-20T02:11:38.415963+00:00,2.0,True,0.5,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,300D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,19,300,300,5596,18,0,5614,0,5614,1,300,0,299,2025-12-20T02:11:38.415963+00:00,295.4737,True,0.003206,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,30D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,188,30,30,5427,187,0,5614,0,5614,1,30,0,29,2025-12-20T02:11:38.415963+00:00,29.8617,True,0.03331,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,315D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,18,315,315,5597,17,0,5614,0,5614,1,315,0,314,2025-12-20T02:11:38.415963+00:00,311.8889,True,0.003028,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,3240D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,2,3240,3240,5613,1,0,5614,0,5614,1,3240,0,3239,2025-12-20T02:11:38.415963+00:00,2807.0,True,0.000178,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,3285D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,2,3285,3285,5613,1,0,5614,0,5614,1,3285,0,3284,2025-12-20T02:11:38.415963+00:00,2807.0,True,0.000178,0.0,True,0,0.0
public.cmc_price_bars_multi_tf,1,350D,5614,2010-07-13 19:59:59.999000-04:00,2025-11-24 23:59:59.999000+00:00,17,350,350,5598,16,0,5614,0,5614,1,350,0,349,2025-12-20T02:11:38.415963+00:00,330.2353,True,0.00285,0.0,True,0,0.0
